Unnamed: 0,SriLanka_creole,phonetic_transcription,Portuguese_definition,Portuguese_IPA,English_definition,pos,Related_languages,pt_related annotations,sources,original_full_entry,original_Portuguese_definition,original_linguistic_notes,page
122,ancrà,ankɾaː,ancorar,ɐ̃.ku.ˈɾaɾ,anchor,verb,,,,"Ankerà, anchrà,, ancrà, an-chorar,",ancorar,,137.0
132,Apinhá,apiɲaː,apanhar,ɐ.pɐ.ˈɲaɾ,catch,verb,,,,"Apinha, apanhar. T. panhà. Cfr. accompinhá.",apanhar,,137.0
137,Aquél,akeːl,aquilo,ɐ.ˈki.lu,aquilo,pronoun,,,,"Aquél, aquelle, aquillo; o. Aquelhora (/-A), aquella hora: então. Dial. coch. Aquelvidè, por causa d'aquillo: por isso, por tanto. V. vide.",aquillo,,137.0
138,aquelle,akele,aquilo,ɐ.ˈki.lu,aquilo,pronoun,,,,"Aquél, aquelle, aquillo; o. Aquelhora (/-A), aquella hora: então. Dial. coch. Aquelvidè, por causa d'aquillo: por isso, por tanto. V. vide.",aquillo,,137.0
141,Ária,aːɾia,areia,ɐ.ˈɾɐj.ɐ,sand,noun,Macao creole,,,"Ária, areia. Dial. mac. Cfr. aldia, cadia.",areia,,138.0
142,Arià,aɾiaː,variar,vɐ.ˈɾi.aɾ,vary,verb,,,,"Arià, variar. Ariado, variado, vario. Ariação, variação.",variar,,138.0
145,Aros,aɾos,arroz,ɐ.ˈʁoʃ,rice,noun,,,,"Aros, arroz. Aro^: Chr. de Bisn.",arroz,,138.0
149,Artifiço,aɾtifiso,artifício,ɐɾ.ti.ˈfi.sju,artifice,noun,,,,"Artifiço, artificio. Cfr. pa-laço, sacrifico.",artificio,,138.0
151,Ásper,aːspeɾ,áspero,ˈaʃ.pɨ.ɾu,rough,adjective,,,,"Ásper, áspero. Cfr. vésper, témper. Asperà, tornar-se áspero, esbravejar. Asperdade, aspereza. Cfr. altividade, duvi-dade.",áspero,,138.0
153,Asperdade,aspeɾdade,aspereza,ɐʃ.pɨ.ˈɾe.zɐ,rough protuberances,noun,,,,,aspereza,,
157,Assitanto,asitanto,tanto,ˈtɐ̃.tu,so much,adverb,,,,,tanto,,
158,astanto,astanto,tanto,ˈtɐ̃.tu,as much,adverb,,,,,tanto,,
159,Assino,asino,assinatura,ɐ.si.nɐ.ˈtu.ɾɐ,signature,noun,,,,"Assino, assignatura. — Do verbo assina. Cfr. ruino.",assignatura,,138.0
160,Assofran,asofɾan,açafrão,ɐ.sɐ.ˈfɾɐ̃w̃,saffron,noun,,,,"Assofran, açafrão. Asso-frà, açafroar.",açafrão,,138.0
162,Atà,ataː,até,ɐ.ˈtɛ,until,adverb,,Old Portuguese,,"Atà, até (t. us.). — Port. arch.",até,,138.0
163,Atarde,ataɾde,tarde,ˈtaɾ.dɨ,afternoon,adverb,,,,"Atarde, tarde.—De á tarde. Cfr. anoute, dedia.",tarde,,138.0
164,Atchà,at̠ʃaː,achar,ɐ.ˈʃaɾ,find,verb,Macao creole,,,"Atchà, achar (mais us.). Dial. mac. Cfr. fitchá.",achar,,138.0
166,Atramento,atɾamento,atrevimento,ɐ.tɾɨ.vi.ˈmẽ.tu,dare,noun,,,,"Atramento, atrevimento. Atramentá, atrever-se.",atrevimento,,138.0
171,Attermesan,atːeɾmezan,altercação,aɫ.tɨɾ.kɐ.ˈsɐ̃w̃,quarrel,noun,,,Istori de San Clear,"Attermesan (5. C), altercação ?",altercação,,138.0
172,Audénci,audeːnsi,audiência,aw.ˈdjẽ.sjɐ,hearing,noun,,,,"Audénci, audiência. Cfr./&gt;a-cénci, comedi.",audiência,,138.0
173,Audia,audia,audácia,aw.ˈda.sjɐ,audacity,noun,,,Cantigas,"Audia (Cant.), audácia ?",audácia,,138.0
175,Avantagem,aʋantad̠ʒem,vantagem,vɐ̃.ˈta.ʒɐ̃j̃,advantage,noun,,Old Portuguese,,"Avantagem (A^. T.), vantagem.— Port. arch.",vantagem,,138.0
176,Avelho,aʋeʎo,abelha,ɐ.ˈbɐj.ʎɐ,bee,noun,,,,"Avelho, abelha.",abelha,,138.0
177,Avená,aʋenaː,abanar,ɐ.bɐ.ˈnaɾ,shake,verb,,,,"Avena, abanar.",abanar,,138.0
178,Avoà,aʋoaː,voar,ˈvwaɾ,fly,verb,,"Old Portuguese, Dialectal Portuguese",,"Avoà, voar. — Port. arch. e Dialetal Portuguese.",voar,,138.0
182,Azéte,azeːte,azeite,ɐ.ˈzɐj.tɨ,olive oil,noun,,,"O Bruffador, i periódico","Azéte, aziete {Br. i), azeite. Azeitero, azietero {Br. i), azeiteiro. Azeitero: Dial. mac.",azeite,,138.0
183,aziete,aziete,azeite,ɐ.ˈzɐj.tɨ,olive oil,noun,,,"O Bruffador, i periódico","Azéte, aziete {Br. i), azeite. Azeitero, azietero {Br. i), azeiteiro. Azeitero: Dial. mac.",azeite,,138.0
189,Baclà,baklaː,batalhar,bɐ.tɐ.ˈʎaɾ,battle,verb,,,,"Baclà, batalhar. Baclador, batalhador. Bacladura, bacal-dura, (p. us.), batalha, combate. — Por intermédio de *bat'lá.",batalhar,,139.0
194,Bailo,bailo,baile,ˈbaj.lɨ,"ball, dance",noun,,Dialectal Portuguese,,"Bailo, baile. — Port. Dialetal Portuguese. Bailo-casa, casa de baile.",baile,,139.0
198,Basséza,baseːza,baixeza,baj.ˈʃe.zɐ,baseness,noun,,,,,baixeza,,
206,Bandeya,bandeja,bandeja,bɐ̃.ˈdɐj.ʒɐ,tray,noun,,,,"Bandeya, bandeja.",bandeja,,139.0
215,Barrato,barato,barato,bɐ.ˈɾa.tu,cheap,adjective,,,,"Barrato, barato. Cfr. carro.",barato,,139.0
216,Barrê,bareː,varrer,vɐ.ˈReɾ,sweep,verb,Macao creole,,,"Barro, varrer. Barido, varrido. Dial. mac. barè.",varrer,,139.0
222,Batrai,batɾai,bateria,bɐ.tɨ.ˈɾi.ɐ,battery,noun,,,"O Bruffador, i periódico","Batrai {Br. i), bateria.",bateria,,139.0
223,Battà,batːaː,bater,bɐ.ˈteɾ,knock,verb,,,,"Battà, bater.",bater,,139.0
224,Battalho,batːaʎo,batalha,bɐ.ˈta.ʎɐ,battle,noun,,,Cantigas,Battalho [Cant.)batalha. V. BACI.Á.,batalha,,139.0
227,Bautizá,bautizaː,batizar,ba.ti.ˈzaɾ,baptize,verb,,,,,baptizar,,
236,Beberão,bebeɾaːo,beberrão,bɨ.bɨ.ˈRɐ̃w̃,drunkard,noun,,,,"Beberão, babarão, bebrâo, beberrão.",beberrão,,139.0
237,babarão,babaɾaːo,beberrão,bɨ.bɨ.ˈRɐ̃w̃,drunkard,noun,,,,"Beberão, babarão, bebrâo, beberrão.",beberrão,,139.0
238,bebrão,bebɾaːo,beberrão,bɨ.bɨ.ˈRɐ̃w̃,drunkard,noun,,,,"Beberão, babarão, bebrâo, beberrão.",beberrão,,139.0
240,Béço,beːso,beiço,ˈbɐj.su,lip,noun,,,,,beiço,,
245,Bença,bensa,bênção,ˈbẽ.swɐ̃w̃,blessing,noun,"Cochin creole, Macao creole",,,"Bença, bencè, benção. Ben-ça: dial. cochmac.",benção,,140.0
246,bencè,benseː,bênção,ˈbẽ.swɐ̃w̃,blessing,noun,"Cochin creole, Macao creole",,,"Bença, bencè, benção. Ben-ça: dial. cochmac.",benção,,140.0
247,Bendição,bendisaːo,bênção,ˈbẽ.swɐ̃w̃,blessing,noun,,Old Portuguese,,"Bendição, benção. — Port. arch..-'",benção,,140.0
248,Beneficaçan,benefikasan,benefício,bɨ.nɨ.ˈfi.sju,benefit,noun,,,,"Beneflcaçan {C. .4.), beneficio.",beneficio,,140.0
252,Bénza,beːnza,bênção,ˈbẽ.swɐ̃w̃,blessing,noun,,,,,benção,,
253,bénzè,beːnzeː,bênção,ˈbẽ.swɐ̃w̃,blessing,noun,,,,,benção,,
261,Bijá,bid̠ʒaː,beijar,bɐj.ˈʒaɾ,kiss,verb,"Diu creole, Mangalor creole",,,"Bijá, beijar. Dial. mangdiv.",beijar,,140.0
265,Bisiga,biziga,bexiga,bɨ.ˈʃi.ɡɐ,bladder,noun,,,,"Bisiga, bexiga.",bexiga,,140.0
271,Blasphemoso,blasfemozo,blasfemo,blɐʃ.ˈfe.mu,blasphemous,noun,,,,"Blasphemoso, blasphemo. Cfr. alegroso, impioso.",blasphemo,,140.0
272,Bõa,boːa,boa,ˈbo.ɐ,good,adjective,,Old Portuguese,,"Boa (Gomes), boa. — Port. arch.",boa,,140.0
275,Bocadè,bokadeː,bocado,bu.ˈka.du,bite size,noun,,,,"Bocadè, bocado.",bocado,,140.0
282,Bom,bom,bem,bɐ̃j̃,well,adverb,,,,"Bom, bom: bem {siibst.).",bem,,140.0
286,Bordè,boɾdeː,borda,ˈbɔɾ.dɐ,edge,noun,,,,"Borde, borda.",borda,,140.0
287,Bordiá,boɾdiaː,bordar,buɾ.ˈdaɾ,embroider,verb,,,,"Bordiá, bordar.",bordar,,140.0
288,Borrecido,boresido,aborrecido,ɐ.bu.Rɨ.ˈsi.du,bored,adjective,Macao creole,,Istori de San Clear,"Borrecido, aborrecido. Dial. mac. borecido. P. us. Cfr. biircê.",aborrecido,pouco usado,140.0
294,Boutic,boutik,botica,bu.ˈti.kɐ,pharmacy,noun,,"Old Portuguese, All Portuguese-based creoles of India",,Boutique (pron. boutic)^ botica (pharmacia), loja. — Botica na segunda accep. port. arch. Comm. (t. em Macao creole e Gôa).,botica,141.0
300,Branca,bɾanka,branquear,bɾɐ̃.ˈki.aɾ,bleach,verb,,,,"Branca, branquear. — De branco.",branquear,,141.0
301,Branda,bɾanda,abrandar,ɐ.bɾɐ̃.ˈdaɾ,slow down,verb,"Capeverdean creole, Macao creole",,,"Branda, abrandar. Dial. mac, cab.",abrandar,,141.0
303,Branquéza,bɾankeːza,brancura,bɾɐ̃.ˈku.ɾɐ,whiteness,noun,,,,"Branquéza, brancura.",brancura,,141.0
307,Brazá,bɾazaː,abrasar,ɐ.bɾɐ.ˈzaɾ,blaze,verb,,,,"Brazá, abrazar.",abrazar,,141.0
308,Bremellio,bɾemelio,vermelho,vɨɾ.ˈmɐj.ʎu,red,adjective,Capeverdean creole,,,"Bremellio, brimellio, bri-malho, brimejo, vermelho, Dial. cab. brumêjo. Burmelho, brumelho: dialectal no cdnt.",vermelho,,141.0
309,brimellio,bɾimelio,vermelho,vɨɾ.ˈmɐj.ʎu,red,adjective,Capeverdean creole,,,"Bremellio, brimellio, bri-malho, brimejo, vermelho, Dial. cab. brumêjo. Burmelho, brumelho: dialectal no cdnt.",vermelho,,141.0
310,brimalho,bɾimaʎo,vermelho,vɨɾ.ˈmɐj.ʎu,red,adjective,Capeverdean creole,,,"Bremellio, brimellio, bri-malho, brimejo, vermelho, Dial. cab. brumêjo. Burmelho, brumelho: dialectal no cdnt.",vermelho,,141.0
311,brimejo,bɾimed̠ʒo,vermelho,vɨɾ.ˈmɐj.ʎu,red,adjective,Capeverdean creole,,,"Bremellio, brimellio, bri-malho, brimejo, vermelho, Dial. cab. brumêjo. Burmelho, brumelho: dialectal no cdnt.",vermelho,,141.0
315,Bruffador,bɾufadoɾ,semeador,sɨ.mjɐ.ˈdoɾ,seeder,noun,,,,,semeador,,
320,Bunaca,bunaka,boneca,bu.ˈnɛ.kɐ,doll,adjective,,,,"Bnnaca, boneca.",boneca,,141.0
321,Bunito,bunito,bonito,bu.ˈni.tu,handsome,adjective,Cochin creole,,,"Bunito, bonito. Dial. coch.",bonito,,141.0
323,Burcê,buɾseː,aborrecer,ɐ.bu.Rɨ.ˈseɾ,annoy,verb,Macao creole,,,"Burcô, burçá, abhorrecer. Dial. mac. burecê.",aborrecer,,141.0
324,burçá,buɾsaː,aborrecer,ɐ.bu.Rɨ.ˈseɾ,annoy,verb,Macao creole,,,"Burcô, burçá, abhorrecer. Dial. mac. burecê.",aborrecer,,141.0
333,Cabeça,kabesa,cabeça,kɐ.ˈbe.sɐ,head,noun,Capeverdean creole,,,"Cabeça, cabeçè, cabeça. Cabeça: dial. cab.",cabeça,,141.0
334,cabeçé,kabeseː,cabeça,kɐ.ˈbe.sɐ,head,noun,Capeverdean creole,,,"Cabeça, cabeçè, cabeça. Cabeça: dial. cab.",cabeça,,141.0
335,Cabelho,kabeʎo,cabelo,kɐ.ˈbe.lu,hair,noun,,,,"Cabelho, cabello (mais us.).",cabello,,141.0
341,Cachorinho,kat̠ʃoɾiɲo,cachorro,kɐ.ˈʃo.Ru,dog,noun,,,,,cachorro,,
346,Cadè,kadeː,cada,ˈkɐ.dɐ,each,pronoun,,,,"Cadè, cada (t. us.).",cada,,141.0
347,Cadéra,kadeːɾa,cadeira,kɐ.ˈdɐj.ɾɐ,chair,noun,Macao creole,,,"Cadéra, cadeira. Dial. mac.",cadeira,,142.0
348,Cadia,kadia,cadeia,kɐ.ˈdɐj.ɐ,jail,noun,Mangalor creole,,,"Cadia, cadeia. Dial. mang. Gfr. ária, ai dia.",cadeia,,142.0
353,Caix,kaiʃ,caixa,ˈkaj.ʃɐ,box,noun,,,"O Bruffador, ii periódico","Caix {Br. 2), caixa. V. cassa.",caixa,,142.0
355,Càlis,kaːlis,cálice,ˈka.li.sɨ,cup,noun,,,,"Oàlis, cálix. Calizes, cálices.",cálix,,142.0
356,Calmo,kalmo,calma,ˈkaɫ.mɐ,calm,noun,,,,"Calmo, calma.",calma,,142.0
360,Cambiador,kambiadoɾ,cambista,kɐ̃.ˈbiʃ.tɐ,money broker,noun,,Old Portuguese,,"Cambiador, cambista. — Port. arch. cambador.",cambista,,142.0
370,Canàlhi,kanaːʎi,canalha,kɐ.ˈna.ʎɐ,scoundrel!,noun,,,"O Bruffador, ii periódico","Canàlhi [Br. 2), canalha.",canalha,,142.0
373,Candecera,kandeseɾa,candeeiro,kɐ̃.ˈdjɐj.ɾu,lamp,noun,,,,"Candecera, can'cera (fir.i), candieiro.",candieiro,,142.0
374,can'cera,kanəseɾa,candeeiro,kɐ̃.ˈdjɐj.ɾu,lamp,noun,,,,"Candecera, can'cera (fir.i), candieiro.",candieiro,,142.0
377,Cândia,kaːndia,candeia,kɐ̃.ˈdɐj.ɐ,lamp,noun,Macao creole,,,"Cândia, candeia. Dial. mac. Cfr. ária, cadia.",candeia,,142.0
378,Canto,kanto,quanto,ˈkwɐ̃.tu,quanto,adverb,Capeverdean creole,"Old Portuguese, Dialectal Portuguese",,"Canto, quanto. Dial. cab.— Port. arch. e Dialetal Portuguese.",quanto,,142.0
380,Capas,kapas,capaz,kɐ.ˈpaʃ,able,adjective,,,,"Capas, capaz (t. us.). Capa-zidade, eapazdade, capacidade.",capaz,,142.0
382,Captão,kaptaːo,capitão,kɐ.pi.ˈtɐ̃w̃,captain,noun,,,"O Bruffador, ii periódico","Captão, capitano (Br. 2), capitão.",capitão,,142.0
383,capitano,kapitano,capitão,kɐ.pi.ˈtɐ̃w̃,captain,noun,,,"O Bruffador, ii periódico","Captão, capitano (Br. 2), capitão.",capitão,,142.0
384,Caravão,kaɾaʋaːo,carvão,kɐɾ.ˈvɐ̃w̃,charcoal,noun,,,,"Caravão, carvão. Svara-bhakti. Cfr. oravai.",carvão,,142.0
387,Cargá,kaɾgaː,carregar,kɐ.Rɨ.ˈɡaɾ,load,verb,Macao creole,,,"Carga, carregar. Dial. mac.",carregar,,142.0
388,Cargação,kaɾgasaːo,carregamento,kɐ.Rɨ.ɡɐ.ˈmẽ.tu,load,noun,,,,"Cargação, carregação, carregamento.",carregamento,,142.0
391,Caridavel,kaɾidaʋel,caridoso,kɐ.ɾi.ˈdo.zu,charitable,adjective,,,"O Bruffador, ii periódico","Caridavel {Br. 2), caridoso.",caridoso,,142.0
392,Caringuejo,kaɾinged̠ʒo,caranguejo,kɐ.ɾɐ̃.ˈɡɐj.ʒu,crab,noun,Cochin creole,,,"Caringuejo, caranguejo. Dial. coch.",caranguejo,,142.0
393,Caristia,kaɾistia,carestia,kɐ.ɾɨʃ.ˈti.ɐ,famine,noun,"Diu creole, Mangalor creole",,,"Caristia, oaristi, earres-tia, carestia. Caristi: dial. div. Dial. mang. carestí. Cfr. allegri.",carestia,,143.0
394,caristi,kaɾisti,carestia,kɐ.ɾɨʃ.ˈti.ɐ,famine,noun,"Diu creole, Mangalor creole",,,"Caristia, oaristi, earres-tia, carestia. Caristi: dial. div. Dial. mang. carestí. Cfr. allegri.",carestia,,143.0
395,carrestia,karestia,carestia,kɐ.ɾɨʃ.ˈti.ɐ,famine,noun,"Diu creole, Mangalor creole",,,"Caristia, oaristi, earres-tia, carestia. Caristi: dial. div. Dial. mang. carestí. Cfr. allegri.",carestia,,143.0
