SriLanka_creole,phonetic_transcription,phono_TRSVD,phono_CV
comero,komeɾo,TV.RVRV,CV.CVCV
comeira,komeiɾa,TV.RVG.RV,CV.CVG.CV
coméria,komeːɾia,TV.RVRV.V,CV.CVCV.V
Comidá,komidaː,TV.RV.TV,CV.CV.CV
Comidação,komidasaːo,TV.RV.TV.SV.V,CV.CV.CV.CV.V
Commettá,kometːaː,TV.RV.TV,CV.CV.CV
Comminhão,komiɲaːo,TV.RVRV.V,CV.CVCV.V
Companhamen-to,kompaɲamen to,TVR.TV.RVRVR TV,CVC.CV.CVCVC CV
companhimento,kompaɲimento,TVR.TV.RVRVR.TV,CVC.CV.CVCVC.CV
compinhamento,kompiɲamento,TVR.TV.RVRVR.TV,CVC.CV.CVCVC.CV
Comtodo,komtodo,TVR.TV.TV,CVC.CV.CV
Con'cé,konəseː,TV.RV.SV,CV.CV.CV
Condiná,kondinaː,TVR.TV.RV,CVC.CV.CV
Condinação,kondinasaːo,TVR.TV.RV.SV.V,CVC.CV.CV.CV.V
Confessão,konfesaːo,TVR.TV.SV.V,CVC.CV.CV.V
confesso,konfeso,TVR.TV.SV,CVC.CV.CV
Conforma,konfoɾma,TVR.TVR.RV,CVC.CVC.CV
Confundá,konfundaː,TVR.TVR.TV,CVC.CVC.CV
Consecração,konsekɾasaːo,TVR.SV.TRV.SV.V,CVC.CV.CCV.CV.V
Conselà,konselaː,TVR.SV.RV,CVC.CV.CV
Conselação,konselasaːo,TVR.SV.RV.SV.V,CVC.CV.CV.CV.V
consalação,konsalasaːo,TVR.SV.RV.SV.V,CVC.CV.CV.CV.V
Conselyo,konselʲo,TVR.SV.RV,CVC.CV.CV
Consistá,konsistaː,TVR.SVS.TV,CVC.CVC.CV
Constrangà,konstɾangaː,TVRS.TRVR.TV,CVCC.CCVC.CV
Contentado,kontentado,TVR.TVR.TV.TV,CVC.CVC.CV.CV
Conter,konteɾ,TVR.TVR,CVC.CVC
Contrairo,kontɾaiɾo,TVR.TRV.V.RV,CVC.CCV.V.CV
Conversão,konʋeɾsaːo,TVR.TVR.SV.V,CVC.CVC.CV.V
Convertação,konʋeɾtasaːo,TVR.TVR.TV.SV.V,CVC.CVC.CV.CV.V
Convidação,konʋidasaːo,TVR.TV.TV.SV.V,CVC.CV.CV.CV.V
Convinçà,konʋinsaː,TVR.TVR.SV,CVC.CVC.CV
Coragè,koɾad̠ʒeː,TV.RV.TV,CV.CV.CV
corajo,koɾad̠ʒo,TV.RV.TV,CV.CV.CV
courajo,kouɾad̠ʒo,TVG.RV.TV,CVG.CV.CV
Cordà,koɾdaː,TVR.TV,CVC.CV
cordià,koɾdiaː,TVR.TV.V,CVC.CV.V
Cordè,koɾdeː,TVR.TV,CVC.CV
Corovà,koɾoʋaː,TV.RV.TV,CV.CV.CV
Corovè,koɾoʋeː,TV.RV.TV,CV.CV.CV
Correição,koreisaːo,TV.RVG.SV.V,CV.CVG.CV.V
Correntè,korenteː,TV.RVR.TV,CV.CVC.CV
currento,kurento,TV.RVR.TV,CV.CVC.CV
Corruptido,koruptido,TV.RV.T.TV.TV,CV.CV.C.CV.CV
Côrto,koːɾto,TVR.TV,CVC.CV
Cósse,koːse,TV.SV,CV.CV
Cossér,koseːɾ,TV.SVR,CV.CVC
Couraço,kouɾaso,TVG.RV.SV,CVG.CV.CV
Crem,kɾem,TRVR,CCVC
Crescentà,kɾesentaː,TRV.SVR.TV,CCV.CVC.CV
criscentá,kɾisentaː,TRV.SVR.TV,CCV.CVC.CV
Criançè,kɾianseː,TRV.VR.SV,CCV.VC.CV
criença,kɾiensa,TRV.VR.SV,CCV.VC.CV
Criscé,kɾiseː,TRV.SV,CCV.CV
crisé,kɾizeː,TRV.SV,CCV.CV
Cruveldade,kɾuʋeldade,TRV.TVR.TV.TV,CCV.CVC.CV.CV
Cuidade,kuidade,TV.V.TV.TV,CV.V.CV.CV
cuidação,kuidasaːo,TV.V.TV.SV.V,CV.V.CV.CV.V
cuidança,kuidansa,TV.V.TVR.SV,CV.V.CVC.CV
cuidancè,kuidanseː,TV.V.TVR.SV,CV.V.CVC.CV
Cum,kum,TVR,CVC
Cum'sá,kuməsaː,TV.RV.SV,CV.CV.CV
Cupá,kupaː,TV.TV,CV.CV
Cupação,kupasaːo,TV.TV.SV.V,CV.CV.CV.V
Curá,kuɾaː,TV.RV,CV.CV
Cural,kuɾal,TV.RVR,CV.CVC
Cusá,kuzaː,TV.SV,CV.CV
Cúspi,kuːspi,TVS.TV,CVC.CV
cóspi,koːspi,TVS.TV,CVC.CV
Customà,kustomaː,TVS.TV.RV,CVC.CV.CV
Dádimo,daːdimo,TV.TV.RV,CV.CV.CV
Danaficà,danafikaː,TV.RV.TV.TV,CV.CV.CV.CV
Darté,daɾteː,TVR.TV,CVC.CV
derté,deɾteː,TVR.TV,CVC.CV
Dedia,dedia,TV.TV.V,CV.CV.V
Declarão,deklaɾaːo,TV.TRV.RV.V,CV.CCV.CV.V
Deixa,deiʃa,TVG.TV,CVG.CV
dessa,desa,TV.SV,CV.CV
Demóni,demoːni,TV.RVRV,CV.CVCV
Déntor,deːntoɾ,TVR.TVR,CVC.CVC
Desasparà,dezaspaɾaː,TV.SVS.TV.RV,CV.CVC.CV.CV
Descargà,deskaɾgaː,TVS.TVR.TV,CVC.CVC.CV
Desci,desi,TV.SV,CV.CV
Descompetido,deskompetido,TVS.TVR.TV.TV.TV,CVC.CVC.CV.CV.CV
Descontentado,deskontentado,TVS.TVR.TVR.TV.TV,CVC.CVC.CVC.CV.CV
Descuidação,deskuidasaːo,TVS.TV.V.TV.SV.V,CVC.CV.V.CV.CV.V
descuidancè,deskuidanseː,TVS.TV.V.TVR.SV,CVC.CV.V.CVC.CV
Deseijo,dezeid̠ʒo,TV.SVG.TV,CV.CVG.CV
deselho,dezeʎo,TV.SV.RV,CV.CV.CV
Deseijà,dezeid̠ʒaː,TV.SVG.TV,CV.CVG.CV
Desembarçan,dezembaɾsan,TV.SVR.TVR.SVR,CV.CVC.CVC.CVC
Desempará,dezempaɾaː,TV.SVR.TV.RV,CV.CVC.CV.CV
desemprà,dezempɾaː,TV.SVR.TRV,CV.CVC.CCV
Deshonestade,deʃonestade,TV.TV.RVS.TV.TV,CV.CV.CVC.CV.CV
Desià,deziaː,TV.SV.V,CV.CV.V
disià,diziaː,TV.SV.V,CV.CV.V
diziá,diziaː,TV.SV.V,CV.CV.V
Desio,dezio,TV.SV.V,CV.CV.V
disio,dizio,TV.SV.V,CV.CV.V
Desemportado,dezempoɾtado,TV.SVR.TVR.TV.TV,CV.CVC.CVC.CV.CV
Desmasiação,dezmaziasaːo,TVS.RV.SV.V.SV.V,CVC.CV.CV.V.CV.V
Despadaçá,despadasaː,TVS.TV.TV.SV,CVC.CV.CV.CV
Despois,despojs,TVS.TVRS,CVC.CVCC
Desprazá,despɾazaː,TVS.TRV.SV,CVC.CCV.CV
Desproveitoso,despɾoʋeitozo,TVS.TRV.TVG.TV.SV,CVC.CCV.CVG.CV.CV
Destribuá,destɾibuaː,TVS.TRV.TV.V,CVC.CCV.CV.V
Destribuação,destɾibuasaːo,TVS.TRV.TV.V.SV.V,CVC.CCV.CV.V.CV.V
destribução,destɾibusaːo,TVS.TRV.TV.SV.V,CVC.CCV.CV.CV.V
Destruvé,destɾuʋeː,TVS.TRV.TV,CVC.CCV.CV
destruivé,destɾuiʋeː,TVS.TRV.V.TV,CVC.CCV.V.CV
destruvà,destɾuʋaː,TVS.TRV.TV,CVC.CCV.CV
Destruiação,destɾuiasaːo,TVS.TRV.VV.SV.V,CVC.CCV.VV.CV.V
destruivição,destɾuiʋisaːo,TVS.TRV.V.TV.SV.V,CVC.CCV.V.CV.CV.V
destrucção,destɾuksaːo,TVS.TRV.T.SV.V,CVC.CCV.C.CV.V
Dettà,detːaː,TV.TV,CV.CV
Dezoitè,dezojteː,TV.SVR.TV,CV.CVC.CV
Differéncia,difeɾeːnsia,TV.TV.RVR.SV.V,CV.CV.CVC.CV.V
Disaccordancè,dizakoɾdanseː,TV.SV.TVR.TVR.SV,CV.CV.CVC.CVC.CV
Discé,diseː,TV.SV,CV.CV
Discendé,disendeː,TV.SVR.TV,CV.CVC.CV
Discerto,diseɾto,TV.SVR.TV,CV.CVC.CV
Discete,disete,TV.SV.TV,CV.CV.CV
Disciplo,disiplo,TV.SV.TRV,CV.CV.CCV
Disconfiador,diskonfiadoɾ,TVS.TVR.TV.V.TVR,CVC.CVC.CV.V.CVC
Disconfiadeira,diskonfiadeiɾa,TVS.TVR.TV.V.TVG.RV,CVC.CVC.CV.V.CVG.CV
Discontentomento,diskontentomento,TVS.TVR.TVR.TV.RVR.TV,CVC.CVC.CVC.CV.CVC.CV
Disfiel,disfiel,TVS.TV.VR,CVC.CV.VC
disfieldado,disfieldado,TVS.TV.VR.TV.TV,CVC.CV.VC.CV.CV
Disfieldade,disfieldade,TVS.TV.VR.TV.TV,CVC.CV.VC.CV.CV
Dismuê,dizmueː,TVS.RV.V,CVC.CV.V
Disobedecido,dizobedesido,TV.SV.TV.TV.SV.TV,CV.CV.CV.CV.CV.CV
Dispidê,dispideː,TVS.TV.TV,CVC.CV.CV
Dispôs,dispoːs,TVS.TVS,CVC.CVC
Disputação,disputasaːo,TVS.TV.TV.SV.V,CVC.CV.CV.CV.V
Dominião,dominiaːo,TV.RVRV.VV,CV.CVCV.VV
Dós,doːs,TVS,CVC
dous,dous,TVGS,CVGC
Dozeiro,dozeiɾo,TV.SVG.RV,CV.CVG.CV
douzeiro,douzeiɾo,TVG.SVG.RV,CVG.CVG.CV
Dózimo,doːzimo,TV.SV.RV,CV.CV.CV
Dreito,dɾeito,TRVG.TV,CCVG.CV
dreto,dɾeto,TRV.TV,CCV.CV
Dromi,dɾomi,TRV.RV,CCV.CV
dromé,dɾomeː,TRV.RV,CCV.CV
drumé,dɾumeː,TRV.RV,CCV.CV
Dromiçá,dɾomisaː,TRV.RV.SV,CCV.CV.CV
Dromiçá,dɾomisaː,TRV.RV.SV,CCV.CV.CV
Dúki,duːki,TV.TV,CV.CV
Dukesè,dukezeː,TV.TV.SV,CV.CV.CV
Durança,duɾansa,TV.RVR.SV,CV.CVC.CV
Duvidade,duʋidade,TV.TV.TV.TV,CV.CV.CV.CV
duvidança,duʋidansa,TV.TV.TVR.SV,CV.CV.CVC.CV
Egualadomente,egualadomente,V.TV.V.RV.TV.RVR.TV,V.CV.V.CV.CV.CVC.CV
Emperador,empeɾadoɾ,VR.TV.RV.TVR,VC.CV.CV.CVC
emperdor,empeɾdoɾ,VR.TVR.TVR,VC.CVC.CVC
Empressado,empɾesado,VR.TRV.SV.TV,VC.CCV.CV.CV
Encenso,ensenso,VR.SVR.SV,VC.CVC.CV
Enferno,enfeɾno,VR.TVR.RV,VC.CVC.CV
Engrato,engɾato,VR.TRV.TV,VC.CCV.CV
Enjoelho,end̠ʒoeʎo,VR.TV.V.RV,VC.CV.V.CV
Enluminá,enluminaː,VR.RV.RVRV,VC.CV.CVCV
enlumiá,enlumiaː,VR.RV.RV.V,VC.CV.CV.V
Enteiro,enteiɾo,VR.TVG.RV,VC.CVG.CV
Envéja,enʋeːd̠ʒa,VR.TV.TV,VC.CV.CV
envejè,enʋed̠ʒeː,VR.TV.TV,VC.CV.CV
envéjo,enʋeːd̠ʒo,VR.TV.TV,VC.CV.CV
enveijo,enʋeid̠ʒo,VR.TVG.TV,VC.CVG.CV
Envisté,enʋisteː,VR.TVS.TV,VC.CVC.CV
Erdávè,eɾdaːʋeː,VR.TV.TV,VC.CV.CV
Esperdição,espeɾdisaːo,VS.TVR.TV.SV.V,VC.CVC.CV.CV.V
Fábre,faːbɾe,TV.TRV,CV.CCV
Faê,faeː,TV.V,CV.V
Faltança,faltansa,TVR.TVR.SV,CVC.CVC.CV
Familha,famiʎa,TV.RVRV,CV.CVCV
familyè,familʲeː,TV.RVRV,CV.CVCV
Faz,fas,TVS,CVC
Fàze,faːze,TV.SV,CV.CV
Fazedo,fazedo,TV.SV.TV,CV.CV.CV
fazido,fazido,TV.SV.TV,CV.CV.CV
Feirréro,feireːɾo,TVG.RV.RV,CVG.CV.CV
Felizamente,felizamente,TV.RV.SV.RVR.TV,CV.CV.CV.CVC.CV
Femè,femeː,TV.RV,CV.CV
Féo,feːo,TV.V,CV.V
feu,feu,TVG,CVG
Feudade,feudade,TVG.TV.TV,CVG.CV.CV
Ferão,feɾaːo,TV.RV.V,CV.CV.V
Ferido,feɾido,TV.RV.TV,CV.CV.CV
Ferraro,feraɾo,TV.RVRV,CV.CVCV
Fessão,fesaːo,TV.SV.V,CV.CV.V
Festè,festeː,TVS.TV,CVC.CV
Feticeria,fetiseɾia,TV.TV.SV.RV.V,CV.CV.CV.CV.V
Fetiço,fetiso,TV.TV.SV,CV.CV.CV
Feto,feto,TV.TV,CV.CV
Fieldade,fieldade,TV.VR.TV.TV,CV.VC.CV.CV
Filyo,filʲo,TV.RV,CV.CV
Firmidade,fiɾmidade,TVR.RV.TV.TV,CVC.CV.CV.CV
Fisgà,fizgaː,TVS.TV,CVC.CV
Fitè,fiteː,TV.TV,CV.CV
Flamma,flama,TRV.RV,CCV.CV
Fogà,fogaː,TV.TV,CV.CV
Fólga,foːlga,TVR.TV,CVC.CV
Folho,foʎo,TV.RV,CV.CV
Fórea,foːɾea,TV.RV.V,CV.CV.V
fória,foːɾia,TV.RV.V,CV.CV.V
Fornè,foɾneː,TVR.RV,CVC.CV
Forrè,foreː,TV.RV,CV.CV
Fortelezè,foɾtelezeː,TVR.TV.RV.SV,CVC.CV.CV.CV
fortéza,foɾteːza,TVR.TV.SV,CVC.CV.CV
Fortificação,foɾtifikasaːo,TVR.TV.TV.TV.SV.V,CVC.CV.CV.CV.CV.V
Fremoso,fɾemozo,TRV.RV.SV,CCV.CV.CV
Fremosura,fɾemozuɾa,TRV.RV.SV.RV,CCV.CV.CV.CV
fremesura,fɾemezuɾa,TRV.RV.SV.RV,CCV.CV.CV.CV
fremesora,fɾemezoɾa,TRV.RV.SV.RV,CCV.CV.CV.CV
fremasora,fɾemazoɾa,TRV.RV.SV.RV,CCV.CV.CV.CV
Frés,fɾeːs,TRVS,CCVC
frez,fɾes,TRVS,CCVC
Friu,fɾiu,TRV.V,CCV.V
Frúito,fɾuːjto,TRVR.TV,CCVC.CV
Fruitoso,fɾuitozo,TRV.V.TV.SV,CCV.V.CV.CV
Fugà,fugaː,TV.TV,CV.CV
Fugé,fud̠ʒeː,TV.TV,CV.CV
Fula,fula,TV.RV,CV.CV
fulè,fuleː,TV.RV,CV.CV
Fuma,fuma,TV.RV,CV.CV
Fundemento,fundemento,TVR.TV.RVR.TV,CVC.CV.CVC.CV
Fundéza,fundeːza,TVR.TV.SV,CVC.CV.CV
fundura,funduɾa,TVR.TV.RV,CVC.CV.CV
Furtéza,fuɾteːza,TVR.TV.SV,CVC.CV.CV
Furugè,fuɾud̠ʒeː,TV.RV.TV,CV.CV.CV
furuja,fuɾud̠ʒa,TV.RV.TV,CV.CV.CV
Gafinhoto,gafiɲoto,TV.TV.RV.TV,CV.CV.CV.CV
Gáilo,gaːjlo,TVR.RV,CVC.CV
Ganyà,ganʲaː,TV.RV,CV.CV
Galyardè,galʲaɾdeː,TV.RVR.TV,CV.CVC.CV
Gardá,gaɾdaː,TVR.TV,CVC.CV
Gardecé,gaɾdeseː,TVR.TV.SV,CVC.CV.CV
gardicê,gaɾdiseː,TVR.TV.SV,CVC.CV.CV
guardicé,guaɾdiseː,TV.VR.TV.SV,CV.VC.CV.CV
Gardecimento,gaɾdesimento,TVR.TV.SV.RVR.TV,CVC.CV.CV.CVC.CV
gardicemento,gaɾdisemento,TVR.TV.SV.RVR.TV,CVC.CV.CV.CVC.CV
gardiamento,gaɾdiamento,TVR.TV.V.RVR.TV,CVC.CV.V.CVC.CV
Geresan,d̠ʒeɾezan,TV.RV.SVR,CV.CV.CVC
Goldiçà,goldisaː,TVR.TV.SV,CVC.CV.CV
